title, link, date, author, keywords,,
Hotel guests discover bed bugs during stay at Thief River Falls resort,http://www.grandforksherald.com/news/4271408-hotel-guests-discover-bed-bugs-during-stay-thief-river-falls-resort,2017-05-22 20:13:18-05:00,['On May', 'At P.M.'],bugs clans issue room resort guests bed casino thief stay hotel falls yeah kids river discover fitzgerald took,
Comanche Red River Hotel Casino announces a personal ...,http://www.prnewswire.com/news-releases/comanche-red-river-hotel-casino-announces-a-personal-appearance-by-ryan-hurst-of-sons-of-anarchy-300239332.html,None,['Comanche Nation Entertainment'],seasons personal red hurst casino sons winston comanche nation won hotel appearance visithttpwwwprnewswirecomnewsreleasescomancheredriverhotelcasinoannouncesapersonalappearancebyryanhurstofsonsofanarchy300239332htmlsource ryan river casinos,,
Whistleblower investigation reveals bed bug infestation in casino hotel,http://www.valleynewslive.com/content/news/Bed-bug-infestation-raises-questions-of-how--423715904.html,None,['Ryan Laughlin'],bugs reveals investigation live bed thief whistleblower infestation fitzgerald video standards hotel bug casino health clans,,
Cherokee casino banking on $200M hotel, convention expansion,http://www.citizen-times.com/story/news/local/2017/01/26/cherokee-casino-banking-200m-hotel-convention-expansion/96786782/,2017/1/26 0:00,['John Boyle', 'Published P.M. Et Jan.'],tower harrahs resort business square expansion feet banking cherokee hotel convention 200m casino
Pinnacle Entertainment's Ameristar Casino Resort Spa St. Charles ...,https://globenewswire.com/news-release/2017/03/28/946042/0/en/Pinnacle-Entertainment-s-Ameristar-Casino-Resort-Spa-St-Charles-and-River-City-Casino-Hotel-earn-2017-AAA-Four-Diamond-Award.html,2017/3/28 0:00,['Pinnacle Entertainment'],resort entertainment charles ameristar casino st spa diamond hotel entertainments city aaa river earn pinnacle,,
Pinnacle Entertainment's Ameristar Casino Resort Spa St. Charles ...,https://www.thestreet.com/story/14062811/1/pinnacle-entertainments-ameristar-casino-resort-spa-st-charles-and-river-city-casino-hotel-earn-2017-aaa-four-diamond-award.html,2017-03-28 13:08:00+00:00,[],resort casino st spa diamond hotel entertainments river earn pinnacle,,
Casino Layoffs,http://www.kcwy13.com/home/headlines/Casino-Layoffs-363216251.html,None,['Landon Harrar'],stated casino layoffs employees managers hotel reason river services wind oil,,
Black Gaming demolishing Oasis casino in Mesquite - Las Vegas ...,http://lasvegassun.com/news/2010/may/19/black-gaming-demolishing-oasis-casino-mesquite/,2010/5/19 0:00,[],mesquite company black demolishing court oasis hotel bankruptcy demolition casino gaming,,
Rivers Casino Proposes $51.5 Million North Shore Hotel | Business ...,http://www.businesswire.com/news/home/20170124006556/en/Rivers-Casino-Proposes-51.5-Million-North-Shore,None,[],shore tax proposes 515 business pittsburgh jobs rivers hotel north casino construction million,,
Renewed, renamed: Wyandotte Nation River Bend Casino Hotel ...,https://www.nativeknot.com/news/Wyandotte-Nation-News/Renewed-renamed-Wyandotte-Nation-River-Bend-Casino-Hotel-opens-s.html,2017/3/10 0:00,['March'],opens business west renamed rooms twin casino bend nation wyandotte hotel soon conference river renewed,
